ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0019373	BP	GO:0019373	epoxygenase P450 pathway	14/531	45/28564	4.88905178102419e-14	7.47291564729548e-11	6.87297753006085e-11	Cyp2c67/Cyp2c68/Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	14
GO:0016712	MF	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	16/539	76/28171	9.73325444425809e-13	1.01225846220284e-10	7.52021974956362e-11	Cyp2c67/Cyp2c68/Cyp2c40/Cyp7b1/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1	16
GO:0005216	MF	GO:0005216	monoatomic ion channel activity	34/539	431/28171	4.03503964382977e-12	3.4970343579858e-10	2.59799920927285e-10	Slc24a4/Hcn1/Nalcn/Grik1/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ano3/Ryr3/Slc24a3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Slc26a7/Cngb3/Grin3a/Slc24a2/Cacna2d1/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Grid2/Grm7/Clcn4	34
GO:0022839	MF	GO:0022839	monoatomic ion gated channel activity	28/539	309/28171	1.29212092607458e-11	9.59861259369686e-10	7.13095308074241e-10	Hcn1/Nalcn/Grik1/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Ryr3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Cngb3/Grin3a/Cacna2d1/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Grid2/Grm7/Clcn4	28
GO:0022836	MF	GO:0022836	gated channel activity	28/539	313/28171	1.75437986085563e-11	1.14034690955616e-09	8.47180801228971e-10	Hcn1/Nalcn/Grik1/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Ryr3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Cngb3/Grin3a/Cacna2d1/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Grid2/Grm7/Clcn4	28
GO:1902495	CC	GO:1902495	transmembrane transporter complex	31/542	392/28585	2.75320301619747e-11	1.33071479116211e-09	1.00467759187557e-09	Hcn1/Grik1/Olfm1/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Olfm3/Cngb3/Grin3a/Pde4b/Cacna2d1/Dpp6/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Cntnap2/Grid2/Lrrtm4	31
GO:0015267	MF	GO:0015267	channel activity	34/539	483/28171	8.95117671866953e-11	4.65461189370816e-09	3.45798090079128e-09	Slc24a4/Hcn1/Nalcn/Grik1/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ano3/Ryr3/Slc24a3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Slc26a7/Cngb3/Grin3a/Slc24a2/Cacna2d1/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Grid2/Grm7/Clcn4	34
GO:0022803	MF	GO:0022803	passive transmembrane transporter activity	34/539	483/28171	8.95117671866953e-11	4.65461189370816e-09	3.45798090079128e-09	Slc24a4/Hcn1/Nalcn/Grik1/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ano3/Ryr3/Slc24a3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Slc26a7/Cngb3/Grin3a/Slc24a2/Cacna2d1/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Grid2/Grm7/Clcn4	34
GO:1990351	CC	GO:1990351	transporter complex	31/542	415/28585	1.15354958697659e-10	4.77899114604586e-09	3.60809494873880e-09	Hcn1/Grik1/Olfm1/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Olfm3/Cngb3/Grin3a/Pde4b/Cacna2d1/Dpp6/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Cntnap2/Grid2/Lrrtm4	31
GO:0043651	BP	GO:0043651	linoleic acid metabolic process	11/531	32/28564	7.49642513521368e-12	7.63885721278274e-09	7.02559703023008e-09	Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	11
GO:0018685	MF	GO:0018685	alkane 1-monooxygenase activity	7/539	11/28171	2.78876689542058e-10	1.31832616874428e-08	9.79404258965889e-09	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0004175	MF	GO:0004175	endopeptidase activity	32/539	456/28171	3.49909043658006e-10	1.51627252251803e-08	1.1264615703727e-08	Ctsj/Ctsq/Pcsk1/Adamts6/Adamts12/Tmprss15/Psmd14/Pcsk2/Mmp16/Pappa/Adam22/Hgf/Tmprss11a/Tmprss11g/Tmprss11f/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Kel/Pip/Sval2/Sval1/Sval3/Sva	32
GO:0005186	MF	GO:0005186	pheromone activity	8/539	18/28171	6.30627915886651e-10	2.44493649640819e-08	1.81637994773645e-08	Esp36/Esp8/Gm44501/Esp6/Esp4/Esp3/Esp1/Mup1	8
GO:0050051	MF	GO:0050051	leukotriene-B4 20-monooxygenase activity	7/539	12/28171	6.5825213364836e-10	2.44493649640819e-08	1.81637994773645e-08	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0004497	MF	GO:0004497	monooxygenase activity	18/539	153/28171	9.5610526790304e-10	3.31449826206387e-08	2.46239040926607e-08	Cyp2c67/Cyp2c68/Cyp2c40/Dbh/Cyp7b1/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Moxd2	18
GO:0034703	CC	GO:0034703	cation channel complex	20/542	194/28585	1.02349128790835e-09	3.71015591866775e-08	2.80113405111758e-08	Hcn1/Grik1/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Pex5l/Kcnd3/Kcna3/Kcna2/Kcna10/Cngb3/Pde4b/Cacna2d1/Dpp6/Kcnip4/Kcnd2/Cntnap2	20
GO:0048786	CC	GO:0048786	presynaptic active zone	16/542	122/28585	1.45149400101796e-09	4.67703622550231e-08	3.53111990890919e-08	Hcn1/Cdh10/Rims2/Ntng2/Gria2/Ntng1/Grm3/Pclo/Cacna2d1/Gabra2/Gabrb1/Grm8/Dgki/Cntnap2/Ctnna2/Grm7	16
GO:0005261	MF	GO:0005261	monoatomic cation channel activity	25/539	316/28171	2.76592675260536e-09	8.98926194596742e-08	6.67825735661952e-08	Slc24a4/Hcn1/Nalcn/Grik1/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Slc24a3/Pex5l/Gria2/Kcnd3/Kcna3/Kcna2/Kcna10/Cngb3/Grin3a/Slc24a2/Cacna2d1/Kcnip4/Kcnd2/Grm7	25
GO:0007416	BP	GO:0007416	synapse assembly	22/531	216/28564	1.29827793025626e-10	9.92208908198343e-08	9.12552724135384e-08	2610042L04Rik/Pcdh17/Slitrk5/Cdh9/Ntng2/Bdnf/Syndig1/Nlgn1/Slitrk3/Negr1/Lingo2/Ptprd/Elavl2/Pclo/Magi2/Gabra2/Adgrl3/Cntnap2/Grid2/Lrrtm1/Lrrtm4/Lrrn1	22
GO:0019369	BP	GO:0019369	arachidonic acid metabolic process	14/531	79/28564	2.04466040208996e-10	1.2501053698378e-07	1.14974482820679e-07	Cyp2c67/Cyp2c68/Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	14
GO:0048787	CC	GO:0048787	presynaptic active zone membrane	12/542	67/28585	4.44968647071233e-09	1.29040907650658e-07	9.74247143061226e-08	Hcn1/Cdh10/Ntng2/Gria2/Ntng1/Cacna2d1/Gabra2/Gabrb1/Grm8/Dgki/Cntnap2/Grm7	12
GO:0060076	CC	GO:0060076	excitatory synapse	14/542	99/28585	5.71209202610677e-09	1.50591517051906e-07	1.13695228844996e-07	Kcnj3/Syndig1/Nlgn1/Elavl2/Pde4b/Sema3a/Pclo/Plxna4/Dgki/Cntnap2/Grid2/Ctnna2/Lrrtm1/Cntn6	14
GO:0016713	MF	GO:0016713	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen	7/539	16/28171	8.8958175093781e-09	2.43464479204032e-07	1.80873408639433e-07	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0102033	MF	GO:0102033	long-chain fatty acid omega-hydroxylase activity	7/539	16/28171	8.8958175093781e-09	2.43464479204032e-07	1.80873408639433e-07	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0120250	MF	GO:0120250	fatty acid omega-hydroxylase activity	7/539	16/28171	8.8958175093781e-09	2.43464479204032e-07	1.80873408639433e-07	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0098742	BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	21/531	211/28564	5.24735239745306e-10	2.67352604650233e-07	2.4588909216837e-07	Pcdh17/Pcdh20/Cdh9/Cdh10/Cdh12/Cdh18/Cadm2/Ntng2/Lrrc4c/Ptprt/Nlgn1/Fat4/Pcdh10/Slitrk3/Ntng1/Ptprd/Dab1/Magi2/Adgrl3/Grid2/Cntn6	21
GO:0099560	BP	GO:0099560	synaptic membrane adhesion	10/531	36/28564	7.46382494465086e-10	3.25955897939967e-07	2.99787615446052e-07	Pcdh17/Cdh9/Cdh10/Ntng2/Lrrc4c/Nlgn1/Slitrk3/Ntng1/Ptprd/Magi2	10
GO:0008236	MF	GO:0008236	serine-type peptidase activity	19/539	212/28171	3.09021249104907e-08	8.03455247672757e-07	5.9689893906053e-07	Pcsk1/Tmprss15/Pcsk2/Hgf/Dpp6/Tmprss11a/Tmprss11g/Tmprss11f/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2	19
GO:0098839	CC	GO:0098839	postsynaptic density membrane	14/542	114/28585	3.62454925219937e-08	8.7593273594818e-07	6.61321267067955e-07	Grik1/Sorcs3/Lrrc4c/Syndig1/Ptprt/Slitrk3/Gria2/Plppr4/Lrrc7/Grin3a/Adam22/Dgki/Grid2/Lrrtm4	14
GO:0017171	MF	GO:0017171	serine hydrolase activity	19/539	217/28171	4.49380968638625e-08	1.06970677514015e-06	7.94701187199258e-07	Pcsk1/Tmprss15/Pcsk2/Hgf/Dpp6/Tmprss11a/Tmprss11g/Tmprss11f/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2	19
GO:0004252	MF	GO:0004252	serine-type endopeptidase activity	18/539	195/28171	4.52568251020831e-08	1.06970677514015e-06	7.94701187199258e-07	Pcsk1/Tmprss15/Pcsk2/Hgf/Tmprss11a/Tmprss11g/Tmprss11f/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2	18
GO:0042391	BP	GO:0042391	regulation of membrane potential	31/531	488/28564	3.63998269711868e-09	1.39092838813648e-06	1.27926234000053e-06	Slc24a4/Abcb5/Hcn1/Nalcn/Fgf14/Rims2/Grik1/Kcnh8/Scn2a/Scn1a/Scn9a/Scn7a/Bdnf/Nlgn1/Pex5l/Glrb/Kcnd3/Kcna2/Cnr1/Pclo/Cacna2d1/Dpp6/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Ptn/Dgki/Cntnap2/Grid2	31
GO:0099572	CC	GO:0099572	postsynaptic specialization	29/542	486/28585	6.98034554642802e-08	1.55715400651087e-06	1.17563714466156e-06	Cdh10/Grik1/Sorcs3/Lrrc4c/Syndig1/Ptprt/Nlgn1/Slitrk3/Gria2/Glrb/Kcnd3/Plppr4/Lrrc7/Grin3a/Pde4b/Dab1/Adam22/Grm3/Pclo/Magi2/Gabra2/Gabra4/Gabrb1/Kcnd2/Dgki/Grid2/Ctnna2/Lrrtm1/Lrrtm4	29
GO:0032279	CC	GO:0032279	asymmetric synapse	28/542	462/28585	8.52300575455522e-08	1.76547976344358e-06	1.3329212007124e-06	Grik1/Sorcs3/Lrrc4c/Syndig1/Ptprt/Slitrk3/Gria2/Kcnd3/Plppr4/Lrrc7/Grin3a/Elavl2/Pde4b/Dab1/Adam22/Grm3/Sema3a/Pclo/Magi2/Kcnd2/Plxna4/Chrm2/Dgki/Cntnap2/Grid2/Ctnna2/Lrrtm4/Grm7	28
GO:0046873	MF	GO:0046873	metal ion transmembrane transporter activity	27/539	430/28171	8.48956494504935e-08	1.91937990061985e-06	1.42593608001515e-06	Slc24a4/Hcn1/Nalcn/Grik1/Kcnh8/Slc39a12/Kcnj3/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Slc24a3/Gria2/Kcnd3/Kcna3/Kcna2/Kcna10/Grin3a/Slc24a2/Slc5a9/Cacna2d1/Kcnip4/Kcnd2/Grm7/Slc6a11	27
GO:0005244	MF	GO:0005244	voltage-gated monoatomic ion channel activity	17/539	192/28171	1.95268146259465e-07	4.23080983562175e-06	3.14313200338701e-06	Hcn1/Nalcn/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Kcnd3/Kcna3/Kcna2/Kcna10/Grin3a/Cacna2d1/Kcnip4/Kcnd2/Grm7/Clcn4	17
GO:0022832	MF	GO:0022832	voltage-gated channel activity	17/539	193/28171	2.10400498345809e-07	4.35047372263198e-06	3.23203209758287e-06	Hcn1/Nalcn/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Kcnd3/Kcna3/Kcna2/Kcna10/Grin3a/Cacna2d1/Kcnip4/Kcnd2/Grm7/Clcn4	17
GO:0030594	MF	GO:0030594	neurotransmitter receptor activity	12/539	93/28171	2.17523686131599e-07	4.35047372263198e-06	3.23203209758287e-06	Htr1a/Htr1f/Grik1/Gria2/Glrb/Grin3a/Gabrg1/Gabra2/Gabra4/Gabrb1/Chrm2/Grid2	12
GO:0015276	MF	GO:0015276	ligand-gated monoatomic ion channel activity	14/539	137/28171	4.10184175352315e-07	7.89984337715571e-06	5.86891198262377e-06	Hcn1/Grik1/Kcnj3/Ryr3/Pex5l/Gria2/Glrb/Cngb3/Grin3a/Gabrg1/Gabra2/Gabra4/Gabrb1/Grid2	14
GO:0022834	MF	GO:0022834	ligand-gated channel activity	14/539	140/28171	5.35290181595098e-07	9.70901595069164e-06	7.2129733884693e-06	Hcn1/Grik1/Kcnj3/Ryr3/Pex5l/Gria2/Glrb/Cngb3/Grin3a/Gabrg1/Gabra2/Gabra4/Gabrb1/Grid2	14
GO:0016705	MF	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	18/539	230/28171	5.41464351096265e-07	9.70901595069164e-06	7.2129733884693e-06	Cyp2c67/Cyp2c68/Cyp2c40/Dbh/Cyp7b1/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Moxd2	18
GO:0051965	BP	GO:0051965	positive regulation of synapse assembly	12/531	80/28564	2.88004001782267e-08	9.78253592720432e-06	8.99717764632087e-06	Slitrk5/Bdnf/Syndig1/Nlgn1/Slitrk3/Lingo2/Ptprd/Adgrl3/Grid2/Lrrtm1/Lrrtm4/Lrrn1	12
GO:0008066	MF	GO:0008066	glutamate receptor activity	7/539	27/28171	5.75227074148091e-07	9.9706026185669e-06	7.40731004253857e-06	Grik1/Gria2/Grin3a/Grm3/Grm8/Grid2/Grm7	7
GO:0030246	MF	GO:0030246	carbohydrate binding	20/539	283/28171	6.53181318457736e-07	1.09565898580007e-05	8.13981473256329e-06	Chodl/Dbh/Galnt13/Galnt5/Chil3/G6pd2/Adgrl3/Galnt17/Ptn/Reg2/Reg1/Reg3g/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e/Gm5065	20
GO:0008061	MF	GO:0008061	chitin binding	5/539	11/28171	1.05729466388242e-06	1.71810382880893e-05	1.27640507120015e-05	Chil5/Chia1/Chil3/Chil4/Chil6	5
GO:0051963	BP	GO:0051963	regulation of synapse assembly	15/531	140/28564	5.84109204930873e-08	1.78562183947368e-05	1.64226914354775e-05	Slitrk5/Ntng2/Bdnf/Syndig1/Nlgn1/Slitrk3/Negr1/Lingo2/Ptprd/Elavl2/Adgrl3/Grid2/Lrrtm1/Lrrtm4/Lrrn1	15
GO:0061760	BP	GO:0061760	antifungal innate immune response	7/531	21/28564	6.84295321512797e-08	1.90171890714965e-05	1.74904574522553e-05	Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e	7
GO:0022824	MF	GO:0022824	transmitter-gated monoatomic ion channel activity	9/539	57/28171	1.27848265218897e-06	1.95532640923019e-05	1.45264127973174e-05	Grik1/Gria2/Glrb/Grin3a/Gabrg1/Gabra2/Gabra4/Gabrb1/Grid2	9
GO:0022835	MF	GO:0022835	transmitter-gated channel activity	9/539	57/28171	1.27848265218897e-06	1.95532640923019e-05	1.45264127973174e-05	Grik1/Gria2/Glrb/Grin3a/Gabrg1/Gabra2/Gabra4/Gabrb1/Grid2	9
GO:0034705	CC	GO:0034705	potassium channel complex	11/542	91/28585	1.23995011257719e-06	2.39723688431591e-05	1.80989209414776e-05	Hcn1/Grik1/Kcnj3/Kcnd3/Kcna3/Kcna2/Kcna10/Dpp6/Kcnip4/Kcnd2/Cntnap2	11
GO:0005272	MF	GO:0005272	sodium channel activity	8/539	44/28171	1.64903335697119e-06	2.44999241607148e-05	1.82013606619076e-05	Hcn1/Nalcn/Grik1/Scn2a/Scn1a/Scn9a/Scn7a/Gria2	8
GO:0008404	MF	GO:0008404	arachidonic acid 14,15-epoxygenase activity	5/539	12/28171	1.78394327909743e-06	2.57680695869629e-05	1.91434848955777e-05	Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8	5
GO:0050803	BP	GO:0050803	regulation of synapse structure or activity	22/531	313/28564	1.21964738835389e-07	3.10705172183153e-05	2.85761243359056e-05	2610042L04Rik/Slitrk5/Ntng2/Zfp804a/Bdnf/Syndig1/Ptprt/Nlgn1/Dhx36/Slitrk3/Negr1/Lingo2/Ptprd/Elavl2/Magi2/Adgrl3/Ptn/Grid2/Ctnna2/Lrrtm1/Lrrtm4/Lrrn1	22
GO:0001676	BP	GO:0001676	long-chain fatty acid metabolic process	14/531	129/28564	1.37247439878876e-07	3.22742633622865e-05	2.96832317341278e-05	Cyp2c67/Cyp2c68/Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	14
GO:0015081	MF	GO:0015081	sodium ion transmembrane transporter activity	14/539	158/28171	2.30195572365863e-06	3.23518101703375e-05	2.40346443978013e-05	Slc24a4/Hcn1/Nalcn/Grik1/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Slc24a3/Gria2/Slc24a2/Slc5a9/Slc6a11	14
GO:0008076	CC	GO:0008076	voltage-gated potassium channel complex	10/542	77/28585	1.94316226382145e-06	3.52198160317638e-05	2.65906415049251e-05	Hcn1/Kcnj3/Kcnd3/Kcna3/Kcna2/Kcna10/Dpp6/Kcnip4/Kcnd2/Cntnap2	10
GO:0015079	MF	GO:0015079	potassium ion transmembrane transporter activity	14/539	160/28171	2.67163118946087e-06	3.6559163645254e-05	2.71603503194498e-05	Slc24a4/Hcn1/Grik1/Kcnh8/Kcnj3/Slc24a3/Gria2/Kcnd3/Kcna3/Kcna2/Kcna10/Slc24a2/Kcnip4/Kcnd2	14
GO:0050807	BP	GO:0050807	regulation of synapse organization	21/531	305/28564	3.31686216478532e-07	6.82328014472747e-05	6.27549584786153e-05	Slitrk5/Ntng2/Zfp804a/Bdnf/Syndig1/Ptprt/Nlgn1/Dhx36/Slitrk3/Negr1/Lingo2/Ptprd/Elavl2/Magi2/Adgrl3/Ptn/Grid2/Ctnna2/Lrrtm1/Lrrtm4/Lrrn1	21
GO:0033559	BP	GO:0033559	unsaturated fatty acid metabolic process	14/531	139/28564	3.47980681392654e-07	6.82328014472747e-05	6.27549584786153e-05	Cyp2c67/Cyp2c68/Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	14
GO:0051791	BP	GO:0051791	medium-chain fatty acid metabolic process	7/531	26/28564	3.57122938552959e-07	6.82328014472747e-05	6.27549584786153e-05	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:1904315	MF	GO:1904315	transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	8/539	51/28171	5.2683219478967e-06	7.02442926386227e-05	5.21855372436731e-05	Grik1/Gria2/Glrb/Grin3a/Gabra2/Gabra4/Gabrb1/Grid2	8
GO:0098960	MF	GO:0098960	postsynaptic neurotransmitter receptor activity	9/539	68/28171	5.81247436385467e-06	7.55621667301107e-05	5.61362655667017e-05	Grik1/Gria2/Glrb/Grin3a/Gabra2/Gabra4/Gabrb1/Chrm2/Grid2	9
GO:0005248	MF	GO:0005248	voltage-gated sodium channel activity	6/539	25/28171	6.2013662194048e-06	7.86514740022072e-05	5.84313582162147e-05	Hcn1/Nalcn/Scn2a/Scn1a/Scn9a/Scn7a	6
