ID	Description	Count	GeneRatio	geneID
GO:0071840	GO:0071840	cellular component organization or biogenesis	120	120/626	Mctp1/Adamts6/Htr1a/Hcn1/Fgf10/2610042L04Rik/Xkr6/Pcdh17/Klhl1/Slitrk5/Tpm3-rs7/Spef2/Adamts12/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Angpt1/Epha6/Chodl/Dynlt1c/Rps6ka2/Tcp10a/Celf2/Hacd1/Slc39a12/Nebl/Myo3a/Adamtsl2/Col5a1/Olfm1/Ntng2/Tbr1/Zfp804a/Fsip2/Lrrc4c/Mettl15/Bdnf/Ano3/Sema6d/Syndig1/Ptprt/Bhlhe22/Nlgn1/Pex5l/Fat4/Dhx36/Slitrk3/Gria2/Glrb/Pdgfc/Flg/Kcnd3/Pifo/Kcna3/Kcna2/Kcna10/Ntng1/Col11a1/Plppr4/Tram1l1/Ugt8a/Unc5c/Bmpr1b/Adgrl4/Negr1/Lrrc7/Mmp16/Mms22l/Cnr1/Spaca1/Lingo2/1700009N14Rik/Ccl19/Ccl21a/Grin3a/Mup1/Frmd3/Ptprd/Cntln/Sh3gl2/Adamtsl1/Slc24a2/Elavl2/Dab1/Elavl4/Sema3a/Pclo/Hgf/Magi2/Ldb2/G6pd2/Grxcr1/Kctd8/Gabra2/Adgrl3/Epha5/Odam/Thsd7a/Kcnd2/Plxna4/Ptn/Kel/Cntnap2/Grid2/Atoh1/Tacstd2/Ctnna2/Lrrtm1/Reg1/Lrrtm4/Fbln2/Chl1/Cntn6/Cntn4/Crbn/Lrrn1/Grm7/Clcn4
GO:0007165	GO:0007165	signal transduction	119	119/626	Slc24a4/Tpbpa/Ctsj/Ctsq/Htr1a/Fgf10/Tlr11/Gfra2/Gpc5/Itgbl1/Fgf14/Mroh2b/Adamts12/Rims2/Angpt1/Rspo2/Olfr209/Epha6/Htr1f/Grik1/Dynlt1c/Rps6ka2/Fpr3/Fpr-rs4/Fpr-rs3/Esp6/Esp6/Esp4/Slc39a12/Gpr158/Adamtsl2/Dbh/Olfm1/Arhgap15/Scn2a/Pde1a/Trim44/Bdnf/Sema6d/Ptprt/Sirpb1a/Cyp7b1/Nlgn1/Pex5l/Fat4/Dhx36/Gpr149/Veph1/Fstl5/Gria2/Glrb/Pdgfc/Olfm3/Plppr4/Tacr3/Bank1/Unc5c/Bmpr1b/Adgrl4/Cnr1/Ccl19/Ccl21a/Grin3a/Mup1/Pappa/Ptprd/Pde4b/Dab1/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Grm3/Sema3a/Pclo/Hgf/Magi2/Evc/Evc2/Stk32b/Rbm47/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Calcr/Grm8/Plxna4/Chrm2/Ptn/Dgki/Cntnap2/Pde1c/Grid2/Atoh1/Vmn1r35/Vmn1r36/Reg1/Reg3g/Vmn1r45/Vmn1r46/Cntn6/Crbn/Grm7/Clec4n/Clec4d/Clec4e/Tas2r113/Lmo3/Pira2
GO:0044237	GO:0044237	cellular metabolic process	118	118/626	Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Pcsk1/Htr1a/Fgf10/2610042L04Rik/Gm7324/Ang6/Ang4/Gfra2/Adamts12/Acot10/Fbxl7/Zfpm2/Angpt1/Epha6/Rbm11/Nox3/Rps6ka2/Tcp10a/Fndc1/St6gal2/Cyp2c67/Cyp2c68/Cyp2c40/Celf2/Hacd1/Malrd1/Myo3a/Gad2/Hnmt/Tbpl2/Dbh/Sardh/Kynu/Galnt13/Galnt5/Psmd14/Tbr1/Slc4a10/B3galt1/Pde1a/Trim44/Mettl15/Bdnf/Hao1/Sptlc3/Macrod2/Ptprt/Zfhx4/Bhlhe22/Cyp7b1/Dhx36/Sis/Gria2/Pdgfc/Tdpoz5/Pifo/Col11a1/Plppr4/Dpyd/Ndst3/Ndst4/Ugt8a/Tacr3/Bank1/Pdha2/Bmpr1b/Sdr16c5/Mms22l/Fhl5/Cnr1/Ccl19/Ccl21a/Mup1/Aldoart1/Ptprd/Sh3gl2/Zfp352/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Dab1/Elavl4/Agbl4/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Hgf/Magi2/Stk32b/Ldb2/G6pd2/Rbm47/Tecrl/Epha5/Ugt2b37/Odam/Galnt17/Calcr/Foxp2/Dgki/Mgam/Moxd2/Atoh1/Gm9008/Reg1/Crbn/Clec4n/Lmo3
GO:0042221	GO:0042221	response to chemical	110	110/626	Slc24a4/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Tpbpa/Htr1a/Hcn1/Fgf10/Ang6/Ang4/Slitrk5/Ugt3a1/Ugt3a2/Adamts12/Oxr1/Angpt1/Epha6/Htr1f/Rbm11/Rps6ka2/Fndc1/Pacrg/Fpr3/Fpr-rs3/Cyp2c67/Cyp2c68/Cyp2c40/Dbh/Kynu/Tbr1/Scn2a/Scn9a/Trim44/Bdnf/Sema6d/Ptprt/Cyp7b1/Nlgn1/Dhx36/Gria2/Pdgfc/Lce1d/Dpyd/Tacr3/Unc5c/Bmpr1b/Cnr1/Ccl19/Ccl21a/Grin3a/Mup1/Pappa/Brinp1/Elavl2/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Sema3a/Cacna2d1/Hgf/G6pd2/Rbm47/Gabrb1/Adgrl3/Epha5/Csn1s1/Smr2/Calcr/Kcnd2/Plxna4/Chrm2/Ptn/Prss2/Pip/Sva/Cntnap2/Pde1c/Vmn1r6/Vmn1r7/Vmn1r8/Vmn1r9/Vmn1r16/Vmn1r17/Vmn1r18/Vmn1r19/Vmn1r22/Vmn1r23/Vmn1r24/Vmn1r26/Vmn1r30/Atoh1/Vmn1r33/Vmn1r35/Vmn1r36/Vmn1r37/Vmn1r38/Reg2/Reg1/Reg3g/Vmn1r45/Vmn1r46/Chl1/Cntn6/Cntn4/Tas2r113/Lmo3/Pira2
GO:0048522	GO:0048522	positive regulation of cellular process	109	109/626	Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctsj/Ctsq/Pcsk1/Edil3/Htr1a/Hcn1/Fgf10/Gm7324/Ang6/Ang4/Slitrk5/Gpc5/Nalcn/Fgf14/Rims2/Zfpm2/Angpt1/Rspo2/Chodl/Grik1/Dynlt1c/Rps6ka2/Fndc1/H2-M11/H2-M9/H2-M1/H2-M2/Hacd1/Malrd1/Myo3a/Olfm1/Tbr1/Zfp804a/Trim44/Bdnf/Sema6d/Syndig1/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Cyp7b1/Nlgn1/Pex5l/Dhx36/Slitrk3/Gria2/Pdgfc/Pifo/Tacr3/Bank1/Unc5c/Bmpr1b/Negr1/Lrrc7/Fhl5/Cnr1/Lingo2/Ccl19/Ccl21a/Mup1/Brinp1/Ptprd/Sh3gl2/Slc24a2/Dab1/Elavl4/Agbl4/Skint1/Adam22/Sema3a/Cacna2d1/Hgf/Magi2/Dpp6/Evc/Ldb2/G6pd2/Rbm47/Adgrl3/Epha5/Odam/Calcr/Foxp2/Plxna4/Ptn/Dgki/Tcaf1/Cntnap2/Grid2/Atoh1/Tacstd2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Fbln2/Cntn6/Crbn/Lrrn1/Clec4b1/Clec4n/Clec4d/Lmo3
GO:0051234	GO:0051234	establishment of localization	105	105/626	Slc24a4/Abcb5/Pcsk1/Mctp1/Htr1a/Rab3c/Hcn1/Fgf10/Ang6/Slc35f4/Ang4/Xkr6/Stc1/Pcdh17/Nalcn/Fgf14/Spef2/Rims2/Angpt1/Grik1/Dynlt1c/Fndc1/Kcnh8/Sorcs1/Slc39a12/Malrd1/Lrp1b/Kcnj3/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Bdnf/Slc5a12/Ano3/Ryr3/Slc24a3/Syndig1/Slc7a12/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Nlgn1/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Plppr4/Tram1l1/Lrrc7/Slc26a7/Cngb3/Nkain3/Cnr1/1700009N14Rik/Ccl19/Ccl21a/Grin3a/Mup1/Astn2/Sh3gl2/Slc24a2/Pde4b/Agbl4/Slc5a9/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Pclo/Cacna2d1/Magi2/Dpp6/Kcnip4/G6pd2/Gabrg1/Gabra2/Gabra4/Gabrb1/Epha5/Csn2/Csn3/Calcr/Kcnd2/Grm8/Dgki/Kel/Tcaf1/Pde1c/Grid2/Lrrtm1/Slc25a26/Crbn/Grm7/Slc6a11/Clec4b1/Clcn4
GO:0048519	GO:0048519	negative regulation of biological process	99	99/626	Slc24a4/Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Ctla2a/Mctp1/Htr1a/Hcn1/Fgf10/2610042L04Rik/Ang6/Ang4/Stc1/Gfra2/Pcdh17/Adamts12/Zfpm2/Oxr1/Angpt1/Rspo2/Grik1/Dynlt1c/Rps6ka2/Tcp10a/Pacrg/Kcnh8/Sorcs3/Celf2/Malrd1/Adamtsl2/Col5a1/Tbr1/Scn9a/Trim44/Bdnf/Sema6d/Slc24a3/Cst10/Ptprt/Bhlhe22/Cyp7b1/Nlgn1/Dhx36/Gpr149/Veph1/Bank1/Sdr16c5/Cnr1/Tmem215/Ccl19/Ccl21a/Grin3a/Mup1/Astn2/Brinp1/Ptprd/Sh3gl2/Slc24a2/Pde4b/Dab1/Elavl4/Agbl4/Sema3a/Hgf/Magi2/Ldb2/G6pd2/Rbm47/Epha5/Csn2/Calcr/Foxp2/Plxna4/Ptn/Dgki/Kel/Pip/Tcaf1/Cntnap2/Pde1c/Grid2/Atoh1/Tacstd2/Ctnna2/Lrrtm1/Reg1/Reg3g/Gm20594/Chl1/Cntn4/Crbn/Grm7/Mug1/Mug2/Clec4b1/Lmo3/Pira2
GO:0048869	GO:0048869	cellular developmental process	98	98/626	Abcb5/Ctla2a/Hcn1/Fgf10/Stc1/Klhl1/Slitrk5/Mroh2b/Spef2/Adamts12/Rims2/Zfpm2/Angpt1/Rspo2/Epha6/Rbm11/Chodl/Dynlt1c/Rps6ka2/Pacrg/Hacd1/Slc39a12/Nebl/Myo3a/Col5a1/Olfm1/Ntng2/Tbr1/Slc4a10/Zfp804a/Fsip2/Lrrc4c/Bdnf/Sema6d/Cst10/Bhlhe22/Nlgn1/Fat4/Dhx36/Gpr149/Slitrk3/Fstl5/Ntng1/Col11a1/Olfm3/Plppr4/Ugt8a/Unc5c/Bmpr1b/Negr1/Lrrc7/Cnr1/Spaca1/Tmem215/Ccl19/Ccl21a/Grin3a/Mup1/Astn2/Brinp1/Ptprd/Sh3gl2/Dab1/Elavl4/Agbl4/Skint1/Zfp980/Adam22/Sema3a/Hgf/Magi2/G6pd2/Rbm47/Grxcr1/Adgrl3/Epha5/Calcr/Thsd7a/Foxp2/Zfp800/Plxna4/Ptn/Kel/Cntnap2/Vmn1r13/Grid2/Atoh1/Tacstd2/Ctnna2/Reg1/Reg3g/Chl1/Cntn6/Cntn4/Grm7/Clec4d/Clec4e/Pira2
GO:0065008	GO:0065008	regulation of biological quality	96	96/626	Slc24a4/Abcb5/Pcsk1/Mctp1/Htr1a/Hcn1/Fgf10/2610042L04Rik/Xkr6/Slitrk5/Nalcn/Fgf14/Rims2/Angpt1/Grik1/Dynlt1c/Rps6ka2/Fpr3/Fpr-rs4/Fpr-rs3/Esp1/Kcnh8/Sorcs3/Myo3a/Gad2/Hnmt/Dbh/Olfm1/Ntng2/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Zfp804a/Trim44/Bdnf/Ano3/Ryr3/Sema6d/Pcsk2/Syndig1/Ptprt/Nlgn1/Pex5l/Dhx36/Slitrk3/Glrb/Kcnd3/Kcna2/Tacr3/Bmpr1b/Negr1/Lrrc7/Sdr16c5/Cnr1/Lingo2/Ccl21a/Mup1/Ptprd/Sh3gl2/Slc24a2/Elavl2/Elavl4/Adam22/Sema3a/Pclo/Cacna2d1/Magi2/Dpp6/Rbm47/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Ugt2b37/Csn2/Csn3/Calcr/Kcnd2/Grm8/Plxna4/Ptn/Dgki/Moxd2/Kel/Cntnap2/Pde1c/Grid2/Ctnna2/Lrrtm1/Lrrtm4/Lrrn1/Slc6a11
GO:0019222	GO:0019222	regulation of metabolic process	94	94/626	Slc24a4/Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctla2a/Ctsj/Ctsq/Htr1a/Fgf10/2610042L04Rik/Gm7324/Ang6/Ang4/Gfra2/Rims2/Zfpm2/Oxr1/Angpt1/Rbm11/Rps6ka2/Tcp10a/Fndc1/Celf2/Malrd1/Dbh/Psmd14/Tbr1/Zfp804a/Trim44/Bdnf/Slc24a3/Cst10/Ptprt/Zfhx4/Bhlhe22/Dhx36/Gria2/Pdgfc/Tdpoz5/Pifo/Chil5/Chia1/Chil3/Chil4/Chil6/Tacr3/Bank1/Bmpr1b/Sdr16c5/Fhl5/Cnr1/Ccl19/Ccl21a/Mup1/Sh3gl2/Zfp352/Pde4b/Dab1/Elavl4/Agbl4/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Hgf/Magi2/Ldb2/G6pd2/Rbm47/Epha5/Csn2/Odam/Calcr/Foxp2/Pip/Atoh1/Reg1/Mug1/Mug2/Clec4n/Clec4e/Lmo3
GO:0051239	GO:0051239	regulation of multicellular organismal process	84	84/626	Slc24a4/Ctla2a/Htr1a/Hcn1/Fgf10/Stc1/Slitrk5/Adamts12/Rims2/Zfpm2/Angpt1/Rspo2/Chodl/Grik1/Slc39a12/Dbh/Bdnf/Sema6d/Syndig1/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Nlgn1/Pex5l/Fat4/Dhx36/Gpr149/Slitrk3/Pdgfc/Kcnd3/Chil5/Chia1/Chil3/Chil4/Chil6/Kcna2/Tacr3/Bank1/Bmpr1b/Cnr1/Lingo2/Ccl19/Ccl21a/Brinp1/Ptprd/Pde4b/Dab1/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Grm3/Sema3a/Pclo/Cacna2d1/Hgf/G6pd2/Rbm47/Adgrl3/Smr3a/Smr2/Calcr/Plxna4/Chrm2/Ptn/Cntnap2/Grid2/Atoh1/Tacstd2/Lrrtm1/Reg3g/Lrrtm4/Lrrn1/Clec4n/Clec4d/Clec4e/Pira2
GO:0048523	GO:0048523	negative regulation of cellular process	80	80/626	Slc24a4/Mctp1/Hcn1/Fgf10/2610042L04Rik/Ang6/Ang4/Stc1/Gfra2/Pcdh17/Adamts12/Zfpm2/Oxr1/Angpt1/Grik1/Dynlt1c/Rps6ka2/Tcp10a/Pacrg/Kcnh8/Sorcs3/Malrd1/Adamtsl2/Col5a1/Tbr1/Bdnf/Sema6d/Ptprt/Bhlhe22/Cyp7b1/Nlgn1/Dhx36/Veph1/Bank1/Sdr16c5/Cnr1/Tmem215/Ccl19/Ccl21a/Mup1/Astn2/Brinp1/Ptprd/Sh3gl2/Slc24a2/Pde4b/Dab1/Elavl4/Agbl4/Sema3a/Hgf/Magi2/Ldb2/G6pd2/Rbm47/Epha5/Foxp2/Plxna4/Ptn/Dgki/Kel/Pip/Tcaf1/Cntnap2/Pde1c/Grid2/Atoh1/Tacstd2/Ctnna2/Lrrtm1/Reg1/Reg3g/Gm20594/Chl1/Cntn4/Crbn/Grm7/Clec4b1/Lmo3/Pira2
GO:0003008	GO:0003008	system process	80	80/626	Slc24a4/Htr1a/Hcn1/Fgf10/Stc1/Tpm3-rs7/Fgf14/Spef2/Rims2/Angpt1/Olfr209/Grik1/Rps6ka2/Sorcs3/Myo3a/Dbh/Tbr1/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Bdnf/Ryr3/Cyp7b1/Nlgn1/Pex5l/Glrb/Kcnd3/Kcna2/Col11a1/Tacr3/Slc26a7/Cngb3/Cnr1/Grin3a/Brinp1/Sh3gl2/Slc24a2/Pde4b/Elavl4/Grm3/Sema3a/Pclo/Cacna2d1/Hgf/Lhfpl3/Dpp6/G6pd2/Grxcr1/Gabrg1/Gabra2/Gabra4/Gabrb1/Smr3a/Smr2/Foxp2/Kcnd2/Grm8/Chrm2/Ptn/Dgki/Pip/Cntnap2/Pde1c/Vmn1r10/Vmn1r11/Vmn1r13/Vmn1r14/Vmn1r15/Vmn1r25/Vmn1r29/Vmn1r30/Grid2/Ctnna2/Vmn1r46/Lrig1/Chl1/Grm7/Tas2r113
GO:0009653	GO:0009653	anatomical structure morphogenesis	80	80/626	Slc24a4/Hcn1/Fgf10/Ang6/Ang4/Stc1/Slitrk5/Spef2/Adamts12/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Zfpm2/Angpt1/Rspo2/Epha6/Chodl/Dynlt1c/Hacd1/Slc39a12/Nebl/Myo3a/Col5a1/Olfm1/Ntng2/Arhgap15/Tbr1/Slc4a10/Lrrc4c/Fjx1/Bdnf/Sema6d/Cst10/Bhlhe22/Cyp7b1/Nlgn1/Fat4/Dhx36/Slitrk3/Pdgfc/Flg2/Kcna2/Ntng1/Col11a1/Olfm3/Plppr4/Ugt8a/Unc5c/Bmpr1b/Mmp16/Spaca1/Tmem215/Mup1/Astn2/Ptprd/Sh3gl2/Dab1/Elavl4/Sema3a/Hgf/Grxcr1/Epha5/Odam/Thsd7a/Foxp2/Plxna4/Ptn/Kel/Cntnap2/Grid2/Atoh1/Tacstd2/Ctnna2/Reg1/Lrig1/Chl1/Cntn6/Cntn4
GO:0048583	GO:0048583	regulation of response to stimulus	80	80/626	Slc24a4/Ctla2a/Ctsj/Ctsq/Mctp1/Fgf10/Tlr11/Gpc5/C7/Adamts12/Rims2/Oxr1/Angpt1/Rspo2/Grik1/Dynlt1c/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Adamtsl2/Dbh/Tbr1/Trim44/Bdnf/Sema6d/Ptprt/Cyp7b1/Nlgn1/Pex5l/Dhx36/Veph1/Fstl5/Pdgfc/Bank1/Bmpr1b/Cnr1/Ccl19/Ccl21a/Grin3a/Mup1/Ptprd/Pde4b/Dab1/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Sema3a/Pclo/Hgf/Magi2/Evc/G6pd2/Rbm47/Kctd8/Calcr/Plxna4/Ptn/Dgki/Pde1c/Grid2/Ctnna2/Reg3g/Cntn6/Crbn/Clec4n/Clec4d/Clec4e/Lmo3/Nlrp2
GO:0023051	GO:0023051	regulation of signaling	71	71/626	Slc24a4/Ctsj/Ctsq/Mctp1/Htr1a/Hcn1/Fgf10/2610042L04Rik/Pcdh17/Gpc5/Nalcn/Fgf14/Adamts12/Rims2/Angpt1/Rspo2/Grik1/Dynlt1c/Sorcs3/Adamtsl2/Dbh/Ntng2/Slc4a10/Lrrc4c/Trim44/Bdnf/Ptprt/Cyp7b1/Nlgn1/Pex5l/Dhx36/Veph1/Fstl5/Gria2/Pdgfc/Ntng1/Plppr4/Bank1/Bmpr1b/Cnr1/Ccl19/Ccl21a/Grin3a/Mup1/Ptprd/Slc24a2/Pde4b/Dab1/Grm3/Pclo/Hgf/Magi2/Evc/Rbm47/Kctd8/Epha5/Calcr/Grm8/Chrm2/Ptn/Dgki/Cntnap2/Pde1c/Grid2/Lrrtm1/Cntn6/Crbn/Grm7/Clec4n/Clec4d/Lmo3
GO:0032879	GO:0032879	regulation of localization	68	68/626	Pcsk1/Mctp1/Htr1a/Rab3c/Hcn1/Fgf10/Ang6/Ang4/Stc1/Pcdh17/Gpc5/Nalcn/Fgf14/Rims2/Angpt1/Grik1/Fndc1/Kcnh8/Malrd1/Kcnj3/Scn2a/Scn1a/Scn9a/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Nlgn1/Pex5l/Dhx36/Kcnd3/Kcna3/Kcna2/Kcna10/Nkain3/Cnr1/Ccl19/Ccl21a/Mup1/Astn2/Sh3gl2/Pde4b/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Adam22/Pclo/Cacna2d1/Magi2/Dpp6/Kcnip4/G6pd2/Epha5/Calcr/Kcnd2/Grm8/Ptn/Kel/Tcaf1/Pde1c/Lrrtm1/Crbn/Grm7/Clec4b1
GO:0006950	GO:0006950	response to stress	66	66/626	Ctla2a/Tpbpa/Mctp1/Htr1a/Hcn1/Fgf10/Ang6/Tlr11/Ang4/Fgf14/Adamts12/Oxr1/Rbm11/Grik1/Nox3/Fndc1/Pacrg/Fpr3/Fpr-rs4/Fpr-rs3/Dbh/Col5a1/Kynu/Psmd14/Scn2a/Scn9a/Trim44/Bdnf/Macrod2/Dhx36/Chil5/Chia1/Chil3/Chil4/Chil6/Tacr3/Bmpr1b/Mms22l/Cnr1/Ccl27b/Ccl19/Ccl21a/Mup1/Brinp1/Pde4b/Agbl4/Grm3/Hgf/G6pd2/Rbm47/Odam/Kcnd2/Ptn/Cntnap2/Reg2/Reg1/Reg3g/Grm7/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e/Nlrp2
GO:0009605	GO:0009605	response to external stimulus	65	65/626	Slc24a4/Ctla2a/Fgf10/Ang6/Tlr11/Ang4/Adamts12/Angpt1/Epha6/Nox3/Fpr3/Fpr-rs3/Kynu/Tbr1/Scn1a/Scn9a/Scn7a/Trim44/Bdnf/Ano3/Sema6d/Macrod2/Cyp7b1/Naaladl2/Dhx36/Glrb/Col11a1/Dpyd/Bank1/Unc5c/Bmpr1b/Cnr1/Ccl27b/Ccl19/Ccl21a/Grin3a/Mup1/Pde4b/Agbl4/Sema3a/Hgf/Rbm47/Epha5/Foxp2/Grm8/Plxna4/Ptn/Cntnap2/Grid2/Atoh1/Ctnna2/Reg2/Reg1/Reg3g/Chl1/Cntn6/Cntn4/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e/Nlrp2
GO:0051641	GO:0051641	cellular localization	61	61/626	Pcsk1/Mctp1/Htr1a/Rab3c/Hcn1/Fgf10/Ang6/Ang4/Pcdh17/Gpc5/Fgf14/Spef2/Rims2/Angpt1/Grik1/Dynlt1c/Fndc1/Pacrg/Malrd1/Gpr158/Scn1a/Fsip2/Ano3/Syndig1/Sirpb1a/Nlgn1/Pex5l/Dhx36/Slitrk3/Gria2/Glrb/Tram1l1/Ugt8a/Lrrc7/Cnr1/1700009N14Rik/Ccl19/Ccl21a/Mup1/Astn2/Cntln/Sh3gl2/Slc24a2/Agbl4/Adam22/Pclo/Magi2/Dpp6/Kcnip4/Epha5/Grm8/Ptn/Dgki/Kel/Tcaf1/Cntnap2/Pde1c/Grid2/Lrrtm1/Lrrtm4/Clec4b1
GO:0009058	GO:0009058	biosynthetic process	59	59/626	Pcsk1/Fgf10/Ang6/Ang4/Zfpm2/Angpt1/Tcp10a/St6gal2/Hacd1/Malrd1/Gad2/Tbpl2/Dbh/Col5a1/Kynu/Galnt13/Galnt5/Tbr1/Slc4a10/B3galt1/Trim44/Bdnf/Hao1/Sptlc3/Zfhx4/Bhlhe22/Cyp7b1/Dhx36/Ndst3/Ndst4/Ugt8a/Bank1/Pdha2/Bmpr1b/Sdr16c5/Fhl5/Ccl19/Ccl21a/Mup1/Zfp352/Elavl4/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Hgf/Ldb2/G6pd2/Tecrl/Epha5/Galnt17/Foxp2/Dgki/Moxd2/Atoh1/Lmo3
GO:0009893	GO:0009893	positive regulation of metabolic process	54	54/626	Slc24a4/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctsj/Ctsq/Fgf10/Gm7324/Ang6/Ang4/Rims2/Zfpm2/Angpt1/Rps6ka2/Fndc1/Dbh/Tbr1/Zfp804a/Trim44/Bdnf/Slc24a3/Dhx36/Pdgfc/Pifo/Chil5/Chia1/Chil3/Chil4/Chil6/Bank1/Bmpr1b/Sdr16c5/Fhl5/Ccl19/Ccl21a/Mup1/Pde4b/Dab1/Elavl4/Agbl4/Hgf/Magi2/Ldb2/Rbm47/Epha5/Odam/Calcr/Pip/Atoh1/Reg1/Clec4n/Clec4e/Lmo3
GO:0033036	GO:0033036	macromolecule localization	54	54/626	Pcsk1/Htr1a/Rab3c/Hcn1/Fgf10/Ang6/Ang4/Xkr6/Gpc5/Rims2/Angpt1/Dynlt1c/Fndc1/Pacrg/Malrd1/Gpr158/Fsip2/Ano3/Syndig1/Nlgn1/Pex5l/Dhx36/Slitrk3/Gria2/Glrb/Plppr4/Tram1l1/Ugt8a/Lrrc7/Cnr1/1700009N14Rik/Mup1/Astn2/Cntln/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Adam22/Pclo/Magi2/Dpp6/Kcnip4/Epha5/Ptn/Tcaf1/Cntnap2/Pde1c/Grid2/Lrrtm1/Lrrtm4
GO:0007267	GO:0007267	cell-cell signaling	52	52/626	Mctp1/Htr1a/Hcn1/Fgf10/2610042L04Rik/Pcdh17/Slitrk5/Gpc5/Nalcn/Fgf14/Rims2/Rspo2/Htr1f/Grik1/Sorcs3/Ntng2/Slc4a10/Lrrc4c/Fjx1/Bdnf/Nlgn1/Pex5l/Slitrk3/Gria2/Glrb/Kcna2/Ntng1/Plppr4/Cnr1/Grin3a/Mup1/Ptprd/Slc24a2/Grm3/Pclo/Cacna2d1/Hgf/Gabrg1/Gabra2/Gabra4/Gabrb1/Epha5/Grm8/Chrm2/Ptn/Dgki/Cntnap2/Pde1c/Grid2/Lrrtm1/Crbn/Grm7
GO:0048584	GO:0048584	positive regulation of response to stimulus	52	52/626	Ctsj/Ctsq/Fgf10/Tlr11/Gpc5/C7/Rims2/Angpt1/Rspo2/Dynlt1c/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Trim44/Bdnf/Nlgn1/Dhx36/Pdgfc/Bank1/Bmpr1b/Cnr1/Ccl19/Ccl21a/Mup1/Pde4b/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Hgf/Evc/Rbm47/Calcr/Ptn/Dgki/Reg3g/Cntn6/Crbn/Clec4n/Clec4d/Clec4e/Lmo3
GO:0055085	GO:0055085	transmembrane transport	51	51/626	Slc24a4/Abcb5/Hcn1/Slc35f4/Nalcn/Fgf14/Kcnh8/Slc39a12/Kcnj3/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Slc5a12/Ano3/Ryr3/Slc24a3/Slc7a12/Nlgn1/Pex5l/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Tram1l1/Slc26a7/Cngb3/Ccl19/Ccl21a/Slc24a2/Pde4b/Slc5a9/Cacna2d1/Dpp6/Kcnip4/G6pd2/Gabrg1/Gabra2/Gabra4/Gabrb1/Calcr/Kcnd2/Kel/Tcaf1/Slc25a26/Crbn/Slc6a11/Clec4b1/Clcn4
