ID	Description	Count	GeneRatio	geneID
GO:0036477	GO:0036477	somatodendritic compartment	58	58/626	Ctla2a/Pcsk1/Htr1a/Hcn1/Klhl1/Cdh9/Htr1f/Cadm2/Grik1/Dynlt1c/Dbh/Olfm1/Slc4a10/Scn1a/Pde1a/Zfp804a/Bdnf/Pcsk2/Syndig1/Nlgn1/Pex5l/Dhx36/Gria2/Glrb/Kcnd3/Kcna2/Tacr3/Unc5c/Bmpr1b/Negr1/Lrrc7/Grin3a/Sh3gl2/Pde4b/Dab1/Elavl4/Grm3/Sema3a/Pclo/Magi2/Dpp6/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Epha5/Calcr/Kcnd2/Grm8/Chrm2/Dgki/Cntnap2/Pde1c/Grid2/Reg1/Chl1/Grm7
GO:0098796	GO:0098796	membrane protein complex	50	50/626	Hcn1/Itgbl1/C7/Ugt3a1/Ugt3a2/Cdh9/Cdh10/Cdh12/Cdh18/Grik1/Nox3/H2-M11/H2-M9/H2-M1/H2-M2/Olfm1/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Olfm3/Cngb3/Grin3a/Pde4b/Cacna2d1/Dpp6/Evc/Evc2/Kcnip4/Gabrg1/Gabra2/Cox7b2/Gabra4/Gabrb1/Calcr/Kcnd2/Cntnap2/Grid2/Ctnna2/Lrrtm4/Pira2
GO:0098794	GO:0098794	postsynapse	45	45/626	Hcn1/Pcdh17/Cdh9/Cdh10/Grik1/Sorcs3/Zfp804a/Lrrc4c/Syndig1/Ptprt/Nlgn1/Slitrk3/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Plppr4/Lrrc7/Grin3a/Sh3gl2/Pde4b/Dab1/Adam22/Grm3/Pclo/Cacna2d1/Magi2/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Kcnd2/Chrm2/Ptn/Dgki/Cntnap2/Grid2/Ctnna2/Lrrtm1/Lrrtm4/Grm7/Slc6a11
GO:0009986	GO:0009986	cell surface	43	43/626	Hcn1/Fgf10/Gfra2/Gpc5/Itgbl1/Rspo2/H2-M11/H2-M9/H2-M1/H2-M2/Kcnj3/Sema6d/Ptprt/Nlgn1/Slitrk3/Gria2/Glrb/Pdgfc/Plppr4/Ccl19/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Dpp6/Epha5/Tmprss11f/Ptn/Cntnap2/Grm7/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e
GO:0044297	GO:0044297	cell body	43	43/626	Pcsk1/Htr1a/Hcn1/Klhl1/Cadm2/Grik1/Dynlt1c/Pacrg/Dbh/Olfm1/Slc4a10/Scn1a/Pde1a/Zfp804a/Bdnf/Pcsk2/Syndig1/Dhx36/Gria2/Kcnd3/Kcna2/Tacr3/Unc5c/Bmpr1b/Negr1/Grin3a/Sh3gl2/Dab1/Elavl4/Pclo/Dpp6/Kcnip4/Gabra2/Epha5/Calcr/Kcnd2/Grm8/Chrm2/Dgki/Cntnap2/Pde1c/Reg1/Grm7
GO:0098793	GO:0098793	presynapse	43	43/626	Pcsk1/Mctp1/Htr1a/Rab3c/Hcn1/Pcdh17/Cdh9/Cdh10/Rims2/Grik1/Gad2/Dbh/Ntng2/Kcnj3/Slc4a10/Scn2a/Scn1a/Zfp804a/Bdnf/Syndig1/Gria2/Kcna3/Kcna2/Ntng1/Cnr1/Ptprd/Sh3gl2/Pde4b/Grm3/Pclo/Cacna2d1/Gabra2/Gabrb1/Grm8/Chrm2/Ptn/Dgki/Cntnap2/Ctnna2/Cntn6/Grm7/Slc6a11/Clcn4
GO:0005829	GO:0005829	cytosol	34	34/626	Ofcc1/Rab3c/Fgf14/Chodl/Pacrg/Myo3a/Gad2/Hnmt/Kynu/Psmd14/Cst10/Pex5l/Pabpc4l/Dhx36/Pdgfc/Dpyd/Fam110b/Mms22l/Mup1/Aldoart1/Cntln/Sh3gl2/Pde4b/Dab1/Elavl4/Agbl4/Kcnip4/G6pd2/Grxcr1/Odam/Dgki/Kel/Reg1/Nlrp2
GO:0030312	GO:0030312	external encapsulating structure	32	32/626	Serpina3k/Serpina3k/Adamts6/Fgf10/Ang6/Ang4/Gpc5/Adamts12/Angpt1/Plxdc2/Adamtsl2/Col5a1/Sema6d/Col11a1/Mmp16/Lingo2/Adamtsl1/Ptn/Try4/Try10/Prss3/Gm5771/Prss1/Prss2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Fbln2/Lrig1/Lrrn1
GO:0031974	GO:0031974	membrane-enclosed lumen	32	32/626	Pcsk1/Ang6/Ang4/Gpc5/Zfpm2/Oxr1/Epha6/Rbm11/Ncam2/Rps6ka2/Fndc1/Celf2/Hnmt/Dbh/Sardh/Kynu/Scn1a/Mettl15/Bdnf/Slc5a12/Hao1/Macrod2/Pcsk2/Ralyl/Naaladl2/Dhx36/Pdha2/Mms22l/Cntln/Ldb2/Odam/Kel
GO:1990351	GO:1990351	transporter complex	31	31/626	Hcn1/Grik1/Olfm1/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Olfm3/Cngb3/Grin3a/Pde4b/Cacna2d1/Dpp6/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Cntnap2/Grid2/Lrrtm4
GO:0098552	GO:0098552	side of membrane	29	29/626	Gfra2/H2-M11/H2-M9/H2-M1/H2-M2/Kcnj3/Nlgn1/Glrb/Plppr4/Ccl19/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/G6pd2/Epha5/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e
GO:0048471	GO:0048471	perinuclear region of cytoplasm	24	24/626	Ofcc1/Ctsj/Pcsk1/Rab3c/Chodl/Slc39a12/Gad2/Bdnf/Ryr3/Pex5l/Lce1d/Kcnd3/Bank1/Sh3gl2/Pde4b/Dab1/Pclo/Magi2/Epha5/Kcnd2/Ptn/Dgki/Reg1/Crbn
GO:0043235	GO:0043235	receptor complex	23	23/626	Gfra2/Slitrk5/Itgbl1/Grik1/Olfm1/Lrp1b/Nlgn1/Pex5l/Gria2/Olfm3/Bmpr1b/Grin3a/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Epha5/Calcr/Plxna4/Grid2/Lrrtm4/Grm7
GO:0005654	GO:0005654	nucleoplasm	22	22/626	Zfpm2/Epha6/Rbm11/Ncam2/Rps6ka2/Fndc1/Celf2/Hnmt/Kynu/Scn1a/Bdnf/Slc5a12/Macrod2/Pcsk2/Ralyl/Naaladl2/Dhx36/Mms22l/Cntln/Ldb2/Odam/Kel
GO:0150034	GO:0150034	distal axon	22	22/626	Pcsk1/Hcn1/Pcdh9/Grik1/Dynlt1c/Dbh/Olfm1/Slc4a10/Zfp804a/Bdnf/Gria2/Kcna3/Kcna2/Unc5c/Cnr1/Elavl4/Pclo/Chrm2/Dgki/Lrrtm1/Reg1/Grm7
GO:0045177	GO:0045177	apical part of cell	16	16/626	Slc24a4/Stc1/Dbh/Slc4a10/Fat4/Dab1/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Mgam/Pip/Chl1
GO:0048786	GO:0048786	presynaptic active zone	16	16/626	Hcn1/Cdh10/Rims2/Ntng2/Gria2/Ntng1/Grm3/Pclo/Cacna2d1/Gabra2/Gabrb1/Grm8/Dgki/Cntnap2/Ctnna2/Grm7
